Name_ID,Name_URL
10000     ,https://secure.runescape.com/m=itemdb_rs/Hunter+potion+%283%29/viewitem?obj=10000
10002     ,https://secure.runescape.com/m=itemdb_rs/Hunter+potion+%282%29/viewitem?obj=10002
10004     ,https://secure.runescape.com/m=itemdb_rs/Hunter+potion+%281%29/viewitem?obj=10004
10006     ,https://secure.runescape.com/m=itemdb_rs/Bird+snare/viewitem?obj=10006
10008     ,https://secure.runescape.com/m=itemdb_rs/Box+trap/viewitem?obj=10008
10010     ,https://secure.runescape.com/m=itemdb_rs/Butterfly+net/viewitem?obj=10010
10012     ,https://secure.runescape.com/m=itemdb_rs/Butterfly+jar/viewitem?obj=10012
10014     ,https://secure.runescape.com/m=itemdb_rs/Black+warlock/viewitem?obj=10014
10016     ,https://secure.runescape.com/m=itemdb_rs/Snowy+knight/viewitem?obj=10016
10018     ,https://secure.runescape.com/m=itemdb_rs/Sapphire+glacialis/viewitem?obj=10018
10020     ,https://secure.runescape.com/m=itemdb_rs/Ruby+harvest/viewitem?obj=10020
10025     ,https://secure.runescape.com/m=itemdb_rs/Magic+box/viewitem?obj=10025
10029     ,https://secure.runescape.com/m=itemdb_rs/Teasing+stick/viewitem?obj=10029
10031     ,https://secure.runescape.com/m=itemdb_rs/Rabbit+snare/viewitem?obj=10031
10033     ,https://secure.runescape.com/m=itemdb_rs/Chinchompa/viewitem?obj=10033
10034     ,https://secure.runescape.com/m=itemdb_rs/Red+chinchompa/viewitem?obj=10034
10035     ,https://secure.runescape.com/m=itemdb_rs/Kyatt+legs/viewitem?obj=10035
10037     ,https://secure.runescape.com/m=itemdb_rs/Kyatt+top/viewitem?obj=10037
10039     ,https://secure.runescape.com/m=itemdb_rs/Kyatt+hat/viewitem?obj=10039
10041     ,https://secure.runescape.com/m=itemdb_rs/Larupia+legs/viewitem?obj=10041
10043     ,https://secure.runescape.com/m=itemdb_rs/Larupia+top/viewitem?obj=10043
10045     ,https://secure.runescape.com/m=itemdb_rs/Larupia+hat/viewitem?obj=10045
10047     ,https://secure.runescape.com/m=itemdb_rs/Graahk+legs/viewitem?obj=10047
10049     ,https://secure.runescape.com/m=itemdb_rs/Graahk+top/viewitem?obj=10049
1005      ,https://secure.runescape.com/m=itemdb_rs/White+apron/viewitem?obj=1005
10051     ,https://secure.runescape.com/m=itemdb_rs/Graahk+headdress/viewitem?obj=10051
10053     ,https://secure.runescape.com/m=itemdb_rs/Wood+camo+top/viewitem?obj=10053
